,SITEVISITID,METHOD,OBS_YEAR,REGION,REGION_NAME,ISLAND,POP_STATUS,ANALYSIS_SEC,ANALYSIS_YEAR,ANALYSIS_STRATA,SEC_NAME,SITE,ISL_CODE,ISL_SLOPE,SITE_SLOPE_100m,SITE_SLOPE_200m,SITE_SLOPE_400m,DATE_,REEF_ZONE,DEPTH_BIN,LATITUDE,LONGITUDE,DEPTH,HARD_CORAL,SOFT_CORAL,MA,CCA,TA,SAND,CYANO,OTHER_BENTHIC,ComplexityValue,MEAN_SH,SD_SH_DIFF,MAX_HEIGHT,nCounts,nReps,PISCIVORE,PLANKTIVORE,PRIMARY,SECONDARY,UNKNOWN,TotFish
15,2086,nSPC,2010,PRIAs,Pacific Remote Island Areas,Howland,U,Howland,2010,ForereefMid,Howland,HOW-00123,HOW,34.25163384,20.49001216,24.46259465,27.10514554,04/02/2010,Forereef,Mid,0.79638,-176.61092,12.5,48.75,0,0,18.75,32.5,0,NA,0,4,NA,NA,NA,4,2,24.34666333,63.51120155,6.84999112,18.96389522,0,113.6717512
16,2087,nSPC,2010,PRIAs,Pacific Remote Island Areas,Howland,U,Howland,2010,ForereefMid,Howland,HOW-00122,HOW,34.25163384,19.88836648,18.25427083,22.91359962,04/02/2010,Forereef,Mid,0.81356,-176.61226,13.5,61.25,0,0,33.75,5,0,NA,0,2.5,NA,NA,NA,4,2,20.90923784,11.82113444,11.41590959,4.172469075,0,48.31875095
17,2091,nSPC,2010,PRIAs,Pacific Remote Island Areas,Howland,U,Howland,2010,ForereefDeep,Howland,HOW-00107,HOW,34.25163384,21.37980924,19.26732387,24.52967705,05/02/2010,Forereef,Deep,0.78957,-176.61537,21.5,22.5,0,0,47.5,18.25,11.75,NA,0,2.25,NA,NA,NA,4,2,58.13344633,157.3060585,6.257055127,10.27907361,0,231.9756336
18,2092,nSPC,2010,PRIAs,Pacific Remote Island Areas,Howland,U,Howland,2010,ForereefMid,Howland,HOW-00429,HOW,34.25163384,45.35396998,42.93784075,38.50048189,05/02/2010,Forereef,Mid,0.80368,-176.62112,14,10,55,0.25,17.5,9.5,7.75,NA,0,1.75,NA,NA,NA,4,2,23.4198418,38.38835143,5.90522524,6.294258725,0,74.00767719
19,2093,nSPC,2010,PRIAs,Pacific Remote Island Areas,Howland,U,Howland,2010,ForereefShallow,Howland,HOW-00116,HOW,34.25163384,35.98937761,42.20274447,42.95061661,05/02/2010,Forereef,Shallow,0.81251,-176.62303,3,53.75,5,0,30,11.25,0,NA,0,3,NA,NA,NA,4,2,4.180252737,4.94236729,16.25971315,6.99878309,0,32.38111627
20,2094,nSPC,2010,PRIAs,Pacific Remote Island Areas,Howland,U,Howland,2010,ForereefShallow,Howland,HOW-00416,HOW,34.25163384,34.35378539,40.74617614,39.11666869,05/02/2010,Forereef,Shallow,0.80193,-176.62093,3.5,31.25,0,1.25,52.5,15,0,NA,0,3,NA,NA,NA,4,2,4.400140758,0.330648568,10.92764142,3.860319392,0,19.51875014
21,2095,nSPC,2010,PRIAs,Pacific Remote Island Areas,Howland,U,Howland,2010,ForereefDeep,Howland,HOW-00101,HOW,34.25163384,21.13958152,22.78371078,26.65084587,05/02/2010,Forereef,Deep,0.80149,-176.6097,23.5,7.5,0,0,43.75,41.25,7.5,NA,0,1.75,NA,NA,NA,4,2,27.06917471,17.48095002,6.891980193,9.483940738,0,60.92604566
22,2099,nSPC,2010,PRIAs,Pacific Remote Island Areas,Baker,U,Baker,2010,ForereefShallow,Baker,BAK-00129,BAK,31.54439576,8.784046761,17.90530148,24.85216178,06/02/2010,Forereef,Shallow,0.18802,-176.47308,3.5,22.5,0,2.5,45,26.25,3.75,NA,0,2,NA,NA,NA,4,2,0.041366841,0.074015802,7.049476116,1.020295414,0,8.185154173
23,2100,nSPC,2010,PRIAs,Pacific Remote Island Areas,Baker,U,Baker,2010,ForereefDeep,Baker,BAK-00125,BAK,31.54439576,1.955444977,2.354659202,5.196543277,06/02/2010,Forereef,Deep,0.18964,-176.45961,21,7.5,0,0.5,82.5,9.5,0,NA,0,1,NA,NA,NA,2,1,13.30924506,3.503243112,6.829062532,17.17356517,0,40.81511587
24,2101,nSPC,2010,PRIAs,Pacific Remote Island Areas,Baker,U,Baker,2010,ForereefDeep,Baker,BAK-00124,BAK,31.54439576,16.22325037,13.31568068,14.63671319,06/02/2010,Forereef,Deep,0.1867,-176.45917,27,22.5,0,7.5,27.5,15,27.5,NA,0,1,NA,NA,NA,2,1,28.58948728,45.4401504,6.528125698,10.0124329,0,90.57019627
25,2102,nSPC,2010,PRIAs,Pacific Remote Island Areas,Baker,U,Baker,2010,ForereefMid,Baker,BAK-00111,BAK,31.54439576,3.535997824,3.480481421,6.528665768,06/02/2010,Forereef,Mid,0.19856,-176.46338,9.5,52.5,0,0.25,32.5,11.25,3.5,NA,0,4,NA,NA,NA,4,2,38.63487872,13.04292358,13.09269341,4.699563216,0,69.47005892
26,2103,nSPC,2010,PRIAs,Pacific Remote Island Areas,Baker,U,Baker,2010,ForereefDeep,Baker,BAK-00126,BAK,31.54439576,27.12411431,25.46327904,22.34407347,06/02/2010,Forereef,Deep,0.18666,-176.46992,21,25,0,1,40,31.5,2.5,NA,0,2,NA,NA,NA,2,1,35.60737954,22.80878892,9.220437677,9.861846962,0,77.49845309
27,2104,nSPC,2010,PRIAs,Pacific Remote Island Areas,Baker,U,Baker,2010,ForereefShallow,Baker,BAK-00128,BAK,31.54439576,1.339793174,1.445761289,2.072813748,06/02/2010,Forereef,Shallow,0.19144,-176.46838,4.5,32.5,0,2.5,40,7.5,17.5,NA,0,2.25,NA,NA,NA,4,2,14.47861095,0.539484904,12.67492404,1.197196428,0,28.89021632
28,2105,nSPC,2010,PRIAs,Pacific Remote Island Areas,Baker,U,Baker,2010,ForereefShallow,Baker,BAK-00127,BAK,31.54439576,30.71419979,35.80784956,34.3568854,06/02/2010,Forereef,Shallow,0.18831,-176.47667,3,22.5,0,1,59.5,17,0,NA,0,1.25,NA,NA,NA,4,2,1.001995078,13.65926019,26.66264866,5.468332325,0,46.79223626
29,2107,nSPC,2010,PRIAs,Pacific Remote Island Areas,Baker,U,Baker,2010,ForereefDeep,Baker,BAK-00116,BAK,31.54439576,8.72224123,9.316897541,11.12971077,06/02/2010,Forereef,Deep,0.19029,-176.45685,19,33.75,0,3.75,42.5,18.75,1.25,NA,0,2.75,NA,NA,NA,4,2,36.3829431,62.54609917,9.521803272,9.364371913,0,117.8152175
30,2108,nSPC,2010,PRIAs,Pacific Remote Island Areas,Baker,U,Baker,2010,ForereefMid,Baker,BAK-00121,BAK,31.54439576,4.971890479,3.301887366,4.320260276,06/02/2010,Forereef,Mid,0.18924,-176.4662,9,73.75,0,0,17.5,8.75,0,NA,0,3,NA,NA,NA,4,2,30.68259238,2.107950132,5.757974744,2.350949889,0,40.89946714
31,2112,nSPC,2010,PRIAs,Pacific Remote Island Areas,Baker,U,Baker,2010,ForereefMid,Baker,BAK-00123,BAK,31.54439576,29.97489648,32.27359571,31.42944667,07/02/2010,Forereef,Mid,0.18868,-176.48416,14,30,0,0,35,32,3,NA,0,3,NA,NA,NA,2,1,14.79030025,96.75000604,20.34893464,25.26625919,0,157.1555001
32,2113,nSPC,2010,PRIAs,Pacific Remote Island Areas,Baker,U,Baker,2010,ForereefMid,Baker,BAK-00122,BAK,31.54439576,26.05637896,26.77073347,28.25329845,07/02/2010,Forereef,Mid,0.18747,-176.47359,13,31.25,0,1,30,37.25,0.5,NA,0,3.75,NA,NA,NA,4,2,12.72819688,13.71439816,12.74733476,5.728761271,0,44.91869107
33,2114,nSPC,2010,PRIAs,Pacific Remote Island Areas,Baker,U,Baker,2010,ForereefDeep,Baker,BAK-00114,BAK,31.54439576,7.077010334,8.85364524,9.926837853,07/02/2010,Forereef,Deep,0.19311,-176.45694,23,27.5,0,0.5,54,17.5,0.5,NA,0,2.5,NA,NA,NA,2,1,35.49409877,60.85550409,7.701009876,16.26872848,0,120.3193412
34,2115,nSPC,2010,PRIAs,Pacific Remote Island Areas,Baker,U,Baker,2010,ForereefMid,Baker,BAK-00112,BAK,31.54439576,2.388205623,2.977997523,2.647429672,07/02/2010,Forereef,Mid,0.19385,-176.46507,6,16.25,0,2.5,68.75,10,2.5,NA,0,1.5,NA,NA,NA,4,2,1.218374132,0.546334532,10.99788335,2.963602245,0,15.72619426
35,2117,nSPC,2010,PRIAs,Pacific Remote Island Areas,Baker,U,Baker,2010,ForereefShallow,Baker,BAK-00109,BAK,31.54439576,4.15706718,4.337830638,5.559508073,07/02/2010,Forereef,Shallow,0.20364,-176.47369,5.25,31.25,0,2.5,42.5,16.25,7.5,NA,0,1.75,NA,NA,NA,4,2,3.262983551,1.085927157,9.179912273,1.023634927,0,14.55245791
36,2118,nSPC,2010,PRIAs,Pacific Remote Island Areas,Baker,U,Baker,2010,ForereefShallow,Baker,BAK-00118,BAK,31.54439576,1.04437106,1.400745358,2.250211761,07/02/2010,Forereef,Shallow,0.19607,-176.46663,5.5,46.25,0,2.5,36.25,13.75,1.25,NA,0,2.25,NA,NA,NA,4,2,7.053807817,0.70641263,9.304231532,12.01181674,0,29.07626872
37,2119,nSPC,2010,PRIAs,Pacific Remote Island Areas,Baker,U,Baker,2010,ForereefMid,Baker,BAK-00110,BAK,31.54439576,5.150856162,4.479133031,7.760601355,07/02/2010,Forereef,Mid,0.20372,-176.47185,9.75,51.25,0,2.5,37.5,5,3.75,NA,0,3.5,NA,NA,NA,4,2,17.12798074,11.26435769,14.485521,9.110809048,0,51.98866849
38,2120,nSPC,2010,PRIAs,Pacific Remote Island Areas,Baker,U,Baker,2010,ForereefDeep,Baker,BAK-00115,BAK,31.54439576,13.28180396,13.9003816,14.59154761,07/02/2010,Forereef,Deep,0.20153,-176.46416,21.5,45,0,2.5,47.5,2.5,2.5,NA,0,3.5,NA,NA,NA,2,1,57.26744757,34.83709364,4.938015812,6.025668784,0,103.0682258
39,2121,nSPC,2010,PRIAs,Pacific Remote Island Areas,Baker,U,Baker,2010,ForereefDeep,Baker,BAK-00105,BAK,31.54439576,12.89569283,14.49162819,18.3735895,07/02/2010,Forereef,Deep,0.20655,-176.47949,21.75,27.5,0,1.25,31.25,38.75,1.25,NA,0,1.25,NA,NA,NA,4,2,39.60246257,12.25962527,10.70131943,6.665467563,0,69.22887482
40,2124,nSPC,2010,PRIAs,Pacific Remote Island Areas,Baker,U,Baker,2010,ForereefMid,Baker,BAK-00101,BAK,31.54439576,22.91227514,26.16915855,28.50876884,08/02/2010,Forereef,Mid,0.20148,-176.48318,13,27.5,11.25,0.5,25.75,35,0,NA,0,3.5,NA,NA,NA,4,2,11.24302422,27.33395346,14.97066045,12.3289384,0,65.87657654
41,2125,nSPC,2010,PRIAs,Pacific Remote Island Areas,Baker,U,Baker,2010,ForereefMid,Baker,BAK-00100,BAK,31.54439576,20.98361948,25.83629984,29.04776356,08/02/2010,Forereef,Mid,0.19746,-176.48543,14,55,0,0,13.75,31.25,0,NA,0,4,NA,NA,NA,4,2,48.47983395,50.52401181,46.99641598,39.60210977,0,185.6023715
42,2126,nSPC,2010,PRIAs,Pacific Remote Island Areas,Baker,U,Baker,2010,ForereefDeep,Baker,BAK-00104,BAK,31.54439576,24.60989693,28.69067624,30.9412346,08/02/2010,Forereef,Deep,0.19501,-176.48706,24,3.25,0,0,26,67,3.75,NA,0,2.75,NA,NA,NA,4,2,30.16748629,62.79060163,26.79769562,8.14031836,0,127.8961019
43,2132,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SE,2010,ForereefDeep,TUT_SE,TUT-00358,TUT,9.14883213,9.092075316,8.420751468,7.87936197,17/02/2010,Forereef,Deep,-14.31963,-170.66151,20.5,16.75,0,10,16.25,5,2,NA,0,2.25,NA,NA,NA,3,2,0.498038695,4.020658523,12.76672908,3.062561581,0,20.34798788
44,2133,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SE,2010,ForereefMid,TUT_SE,TUT-00363,TUT,9.14883213,8.600131245,5.998805354,4.435803648,17/02/2010,Forereef,Mid,-14.31301,-170.65019,13.5,17.5,0,5,66.25,11.25,0,NA,0,2.5,NA,NA,NA,4,2,0.569894597,0.620191532,19.71327167,1.479803984,0,22.38316179
45,2134,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SE,2010,ForereefShallow,TUT_SE,TUT-00307,TUT,9.14883213,10.74079653,7.703667488,7.41177009,17/02/2010,Forereef,Shallow,-14.28602,-170.63841,4.5,12.5,11.25,5,45,26.25,0,NA,0,2.75,NA,NA,NA,4,2,0.661348964,2.966522964,18.07952379,4.181460445,0,25.88885617
46,2135,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SE,2010,ForereefMid,TUT_SE,TUT-00270,TUT,9.14883213,7.435172374,5.498001841,4.69813945,17/02/2010,Forereef,Mid,-14.31487,-170.65503,11.5,3.75,0,0,77.5,11.25,7.5,NA,0,1.75,NA,NA,NA,4,2,0.216325009,0.28425755,9.941557698,0.747809514,0,11.18994977
47,2137,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SE,2010,ForereefShallow,TUT_SE,TUT-00306,TUT,9.14883213,10.18155732,10.30343846,7.198905449,17/02/2010,Forereef,Shallow,-14.29249,-170.65948,3.5,22.5,20,3.75,22.5,31.25,0,NA,0,2.5,NA,NA,NA,4,2,0.050135114,0.566249304,1.501604561,1.437264335,0,3.555253315
48,2138,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SE,2010,ForereefShallow,TUT_SE,TUT-00226,TUT,9.14883213,7.184122801,9.34298479,6.568235807,17/02/2010,Forereef,Shallow,-14.28314,-170.63144,4.5,15,3.75,3.75,53.75,22.5,1.25,NA,0,3.5,NA,NA,NA,4,2,0.396717374,1.418452784,12.74254871,3.141301181,0,17.69902005
49,2139,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SE,2010,ForereefMid,TUT_SE,TUT-00296,TUT,9.14883213,15.90124356,16.18981536,13.78905952,17/02/2010,Forereef,Mid,-14.29448,-170.62241,16,21.25,0,3.75,53.75,21.25,0,NA,0,2.75,NA,NA,NA,4,2,0.931453014,9.084649181,16.28627739,5.890198117,0,32.19257771
50,2140,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SE,2010,ForereefDeep,TUT_SE,TUT-00202,TUT,9.14883213,8.952217402,6.819155843,6.691790569,17/02/2010,Forereef,Deep,-14.32498,-170.67264,21,35,0,2.5,47.5,15,0,NA,0,2.25,NA,NA,NA,3,2,0.390589762,0.815153951,28.56722403,6.979786265,0,36.75275401
51,2141,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SE,2010,ForereefMid,TUT_SE,TUT-00329,TUT,9.14883213,5.394333834,6.3963948,6.590189208,17/02/2010,Forereef,Mid,-14.32362,-170.67035,14,27,0.5,5,42.5,25,0,NA,0,2,NA,NA,NA,3,2,3.315319754,34.05739378,35.20287508,7.304318977,0,79.8799076
52,2142,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SE,2010,ForereefDeep,TUT_SE,TUT-00314,TUT,9.14883213,8.110126163,6.344850692,6.609839784,17/02/2010,Forereef,Deep,-14.32283,-170.66772,21,25.25,2.5,6,42.5,23.75,0,NA,0,2.25,NA,NA,NA,3,2,1.514851617,75.68304421,29.51710695,19.99248155,0,126.7074843
53,2143,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SE,2010,ForereefShallow,TUT_SE,TUT-00220,TUT,9.14883213,12.7713279,11.13933734,8.368382434,17/02/2010,Forereef,Shallow,-14.31296,-170.69319,4.5,11.5,12.25,3.75,57.5,15,0,NA,0,2.75,NA,NA,NA,3,2,1.604082865,3.879488676,32.04614899,7.725017307,0,45.25473784
54,2144,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SE,2010,ForereefDeep,TUT_SE,TUT-00351,TUT,9.14883213,13.76618342,8.381527241,13.02543084,17/02/2010,Forereef,Deep,-14.29896,-170.63693,20,12.5,0,2.5,60,25,0,NA,0,1.5,NA,NA,NA,2,1,0.609355059,14.01589659,13.95449795,3.391665798,0,31.9714154
55,2146,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SE,2010,ForereefShallow,TUT_SE,TUT-00429,TUT,9.14883213,12.22368593,9.006406666,9.762637843,18/02/2010,Forereef,Shallow,-14.32108,-170.69731,2.5,20,6.25,0,42.5,31.25,0,NA,0,1.75,NA,NA,NA,4,2,1.224374435,0.703437226,33.53306691,7.044912969,0,42.50579154
56,2149,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SE,2010,ForereefShallow,TUT_SE,TUT-00318,TUT,9.14883213,2.598397357,5.476219409,8.737137196,18/02/2010,Forereef,Shallow,-14.33562,-170.70432,6,48.75,3.75,2.5,25,18.75,1.25,NA,0,1,NA,NA,NA,4,2,0.597053018,1.662246924,4.421966066,3.248480538,0,9.929746546
57,2150,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SE,2010,ForereefShallow,TUT_SE,TUT-00325,TUT,9.14883213,12.25845982,8.915990635,7.381815386,18/02/2010,Forereef,Shallow,-14.31091,-170.6931,2.5,13.75,2.5,6.25,55,22.5,0,NA,0,2.5,NA,NA,NA,4,2,0.563740562,1.312441202,23.24720288,5.680568424,0,30.80395307
58,2151,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SW,2010,ForereefDeep,TUT_SW,TUT-00309,TUT,9.14883213,2.925833713,3.203994571,9.86343892,18/02/2010,Forereef,Deep,-14.36741,-170.77136,22,7.5,1.25,0,68.75,12.5,10,NA,0,1.5,NA,NA,NA,4,2,2.402016817,2.103173759,21.83742789,3.439557824,0,29.78217629
59,2152,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SE,2010,ForereefMid,TUT_SE,TUT-00254,TUT,9.14883213,16.29825524,21.22202255,24.62841037,18/02/2010,Forereef,Mid,-14.35507,-170.73053,11.5,20,5,3.75,53.75,16.25,1.25,NA,0,2.25,NA,NA,NA,4,2,0.483452954,11.31799754,20.88055711,4.711540278,0,37.39354789
60,2153,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SW,2010,ForereefDeep,TUT_SW,TUT-00311,TUT,9.14883213,6.18189531,6.09399582,11.04421104,18/02/2010,Forereef,Deep,-14.3731,-170.77518,26,40,0.5,0,35,24.5,0,NA,0,2,NA,NA,NA,2,1,9.299002358,81.3630546,19.88571015,9.77705703,0,120.3248241
61,2154,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SW,2010,ForereefMid,FAGATELE_SANCTUARY,TUT-00340,TUT,9.14883213,5.832997685,9.027552753,13.70237919,18/02/2010,Forereef,Mid,-14.36436,-170.76218,9,15,0,3.75,46.25,35,0,NA,0,3,NA,NA,NA,4,2,1.815311759,1.186432251,28.52394755,2.619327641,0,34.1450192
62,2155,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SE,2010,ForereefMid,TUT_SE,TUT-00241,TUT,9.14883213,8.314339985,11.26235125,15.7517459,18/02/2010,Forereef,Mid,-14.34597,-170.71994,14,9.25,3.25,3.75,40,35,8.75,NA,0,3,NA,NA,NA,4,2,3.287895652,1.656461577,15.79620765,4.691566692,0,25.43213157
63,2156,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SE,2010,ForereefMid,TUT_SE,TUT-00366,TUT,9.14883213,7.280565864,9.058699744,10.85244431,18/02/2010,Forereef,Mid,-14.33555,-170.70232,12,28,4.5,3.75,33.75,30,0,NA,0,1,NA,NA,NA,4,2,0.6375896,6.336972805,5.443831044,3.913190919,0,16.33158437
64,2157,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SW,2010,ForereefShallow,TUT_SW,TUT-00223,TUT,9.14883213,7.034716488,7.758442924,11.2854696,18/02/2010,Forereef,Shallow,-14.3596,-170.7506,3.5,8.75,1.75,0,52.5,22,15,NA,0,5,NA,NA,NA,4,2,0.379879505,0.073483639,16.02878897,1.4837391,0,17.96589121
65,2158,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SW,2010,ForereefMid,TUT_SW,TUT-00235,TUT,9.14883213,9.296198749,9.563823083,14.29034011,18/02/2010,Forereef,Mid,-14.36006,-170.74939,11.5,32.5,1.25,5,43.75,12.5,5,NA,0,4,NA,NA,NA,4,2,2.163568762,5.796670666,16.22075451,4.567805773,0,28.74879971
66,2159,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SW,2010,ForereefDeep,FAGATELE_SANCTUARY,TUT-00216,TUT,9.14883213,20.40112795,14.71844803,16.35095883,18/02/2010,Forereef,Deep,-14.36471,-170.76341,22,23.5,1.5,11.25,50,10,6.25,NA,0,2.75,NA,NA,NA,4,2,6.438317803,3.931110566,8.372207621,4.908575572,0,23.65021156
67,2160,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_SE,2010,ForereefMid,TUT_SE,TUT-00339,TUT,9.14883213,1.931390179,4.01508584,7.865177132,19/02/2010,Forereef,Mid,-14.30098,-170.5779,16.5,17.5,0,1.25,47.5,25,8.75,NA,0,3,NA,NA,NA,4,2,7.812753528,4.6048953,57.00063862,6.186547014,0,75.60483446
68,2161,nSPC,2010,SAMOA,American Samoa,Tutuila,P,TUT_NE,2010,ForereefMid,TUT_NE,TUT-00356,TUT,9.14883213,6.671170302,6.723642366,6.050587673,19/02/2010,Forereef,Mid,-14.2757,-170.55298,10.5,9,3.75,1.25,34.75,11.25,40,NA,0,1,NA,NA,NA,4,2,0.578442936,1.321361755,14.24101272,94.82333067,0,110.9641481
